mile,bank,name,section,features
953.0,RBD,"Birds Point Dikes A series of sandbars are found along the dikes right bank descending and above, along forest edge,...",stlouis-to-caruthersville,camping|island|dike
953.0,RBD,"is the highest, biggest and best",stlouis-to-caruthersville,camping|hazard|island|dike
952.6,LBD,"Quaker Oats Light On the Lower Mississippi, navigation lights are placed and maintained by the U",stlouis-to-caruthersville,hazard
952.0,RBD,"New Madrid Floodway Inflow Crevasse This is the “Blow Out Stretch” where the levee was blasted sky high to provide...",stlouis-to-caruthersville,
952.0,RBD,"Bird’s Blue Hole Bird’s Blue Hole is found over the riverbank and a mile across the fields to the levee",stlouis-to-caruthersville,access_point|supply
952.0,LBD,"Wickliffe Boat Ramp Located in between Economy Boat Store and the floating drydock of John F",stlouis-to-caruthersville,access_point|camping|supply
951.0,LBD,"Wicliffe Bluff (1st Kentucky Bluff) 938 LBD Iron Bank (2nd Kentucky Bluff) 934 LBD Chalk Bluff (3rd Kentucky Bluff) 921...",stlouis-to-caruthersville,
951.0,LBD,"Wickliffe Docks and Wharfing Give wide berth for docked barges and service boat activity left bank descending as you’re...",stlouis-to-caruthersville,
951.0,LBD,"Wickliffe Cross (Jefferson Hill Memorial Cross) Kayaker Jerry Bell “married the Mississippi” when he threw his old...",stlouis-to-caruthersville,confluence
951.0,,"LBD Wickliffe Docks and Wharfing Give wide berth for docked barges and service bo",stlouis-to-caruthersville,
950.2,LBD,"Mayfield Boat Ramp Gated and not maintained",stlouis-to-caruthersville,access_point|confluence
950.0,LBD,"Mayfield Creek You could dive into Mayfield Creek in inclement weather for quick exit from the elements, but you won’t...",stlouis-to-caruthersville,access_point|confluence|harbor
950.0,LBD,"Westvaco Pulp Mill Dock You won’t want to be camped anywhere downwind of this monstrous pulp mill spewing the usual...",stlouis-to-caruthersville,access_point|island|confluence|harbor
949.0,RBD,"Norfolk Landing Abandoned Boat Ramp, but usable in an emergency",stlouis-to-caruthersville,access_point|camping|island|harbor
947.7,RBD,"Pritchard Boat Ramp Narrow concrete boat ramp in pretty place along the river, kind of feels like a French road with a...",stlouis-to-caruthersville,access_point|dike
947.7,,"RBD Pritchard Boat Ramp Narrow concrete boat ramp in pretty place along the river",stlouis-to-caruthersville,access_point
946.0,LBD,"Island No",stlouis-to-caruthersville,access_point|camping|island
945.5,RBD,"Pritchard Revetment Revetments are protective works designed to retard or halt the attack of currents against the banks...",stlouis-to-caruthersville,dike
944.5,LBD,"Island No",stlouis-to-caruthersville,access_point|island
943.6,LBD,"Carlisle County Boat Ramp Well designed concrete boat ramp descending at moderate angle amongst the rip rap in the deep...",stlouis-to-caruthersville,access_point|camping|island|dike
943.0,RBD,"O’Bryan Towhead/Pritchard Dikes Possibly camping on the sandbar, but often muddy and trashy, best in low water levels,...",stlouis-to-caruthersville,access_point|camping|island|dike
943.0,RBD,"for some relief, and then jump into the next opening below, the Chute of Island No",stlouis-to-caruthersville,island
939.0,RBD,"Chute of Is",stlouis-to-caruthersville,island
939.0,LBD,"Campbell Dikes A long sandbar emerges here to the left of the main channel only in the lowest of water levels",stlouis-to-caruthersville,island|dike
937.2,LBD,"Columbus-Belmont State Park In the 1670s Frenchmen Marquette and Joliet explored the area where Columbus now stands",stlouis-to-caruthersville,
937.2,,"LBD Columbus-Belmont State Park In the",stlouis-to-caruthersville,
937.0,LBD,"2nd Kentucky Loess Bluff Columbus-Belmont State Park sits on top of the next spectacular display of loess geology at...",stlouis-to-caruthersville,access_point|town
937.0,LBD,"Iron Bank Light The peculiar color and strange appearance of the high bluff at Columbus, Kentucky, attracted the...",stlouis-to-caruthersville,
937.0,LBD,"Columbus Boat Ramp Columbus Boat Ramp is a wide concrete boat ramp laid over rip-rap in large eddy above the Columbus...",stlouis-to-caruthersville,access_point|camping|hazard|dike|harbor
936.9,LBD,"Ingram Drydock Drydock operation along Columbus waterfront for servicing tows and barges",stlouis-to-caruthersville,access_point|camping|supply
934.0,LBD,"South Columbus Island Below the last of Ingram fleeting along mile 935",stlouis-to-caruthersville,island|harbor
934.0,LBD,"Chalk Cliff Bluffs (3rd Kentucky Loess Bluff) Every one of the Kentucky Bluffs is unique and worth a visit for any of...",stlouis-to-caruthersville,island
934.0,,"LBD Chalk Cliff Bluffs",stlouis-to-caruthersville,
933.0,RBD,"Sandy Bluffs Opposite Wolf Island Bar There are two sandy bluffs opposite the top end of the Wolf Island Bar, one at...",stlouis-to-caruthersville,access_point|island|confluence
930.0,LBD,"Wolf Island Bar Wolf Island is the first “big island” below the mouth of the Ohio River, with a tall bluff of sand that...",stlouis-to-caruthersville,island|confluence
930.0,LBD,"Wolf Island Chute The top end of the back channel is cut off by a long wall dike angled upstream which reaches halfway...",stlouis-to-caruthersville,island|dike
928.0,LBD,"Williams Landing Bar Low water bar emerges only in lowest of water levels",stlouis-to-caruthersville,access_point|island
927.0,RBD,"Moore Islands Archipelago of low lying islands covered with lines of young willows that go under in medium water,...",stlouis-to-caruthersville,access_point|hazard|island
926.6,LBD,"Samuel Light Sand Dune A broad sandy bluff wth god protection from SE storms or winds grows below the Samuel Light",stlouis-to-caruthersville,access_point|island
924.6,RBD,"Dorena Boat Ramp Dorena Boat Ramp is an excellent all-season concrete boat ramp descending over revetment into deep...",stlouis-to-caruthersville,access_point|island|dike
924.6,,"RBD Dorena Boat Ramp Dorena Boat Ramp is an excellent all-season concrete boat ra",stlouis-to-caruthersville,access_point|island|dike
924.0,LBD,"Beckwith Bend Bar Great campsites can be found all around Beckwith Bend Bar at all water levels up to bank full 35 CG,...",stlouis-to-caruthersville,island|dike
924.0,RBD,"Dorena Crevasse The word 'crevasse' comes from an Old French word, 'crevace,' which meant a crevice, fissure, or crack",stlouis-to-caruthersville,
922.6,RBD,"Dorena - Hickman Ferry Landing One of the last ferry operations on the Lower Mississippi River operates between Dorena,...",stlouis-to-caruthersville,access_point|harbor
921.5,LBD,"Hickman Harbor Hickman upsets the wild miles paddlers experience below Wolf Island, but only for a minute",stlouis-to-caruthersville,access_point|island|harbor
921.5,LBD,"4th Kentucky Bluff: Hickman, Kentucky Hickman, Kentucky sits on top of the 4th Kentucky Bluff, which is the last of the...",stlouis-to-caruthersville,
921.0,RBD,"Dorena Towhead The Dorena Towhead rises out of the river bank right in a long shelf of sand at low and medium water...",stlouis-to-caruthersville,camping|island
917.0,RBD,"- 916 Big Oak Tree State Park While not easily accessible by foot from the river, paddlers should be aware of this...",stlouis-to-caruthersville,island
916.0,RBD,"Island No 7 Heading downstream out of Hickman the paddler rounds Dorena Towhead and is presented with a forest lined...",stlouis-to-caruthersville,island|dike
915.0,RBD,"(Back Channel) Bend of Island No",stlouis-to-caruthersville,access_point|island|dike
915.0,,"RBD",stlouis-to-caruthersville,access_point|island|dike
913.0,LBD,"French Point Gravel Bar The best and most extensive gravel bar is found below French Point when the water falls below...",stlouis-to-caruthersville,island
911.5,LBD,"Island No 8 Chute Boat Ramp Island No 8 Chute Boat Ramp is a well designed and constructed concrete boat ramp laid out...",stlouis-to-caruthersville,access_point|island|dike
911.0,RBD,"Island No 8 Everything about Island No 8 arouses wonder and appreciation",stlouis-to-caruthersville,island
908.0,RBD,"- 905 Donaldson Point Conservation Area (and also RBD 896-893) Donaldson Point Conservation Area occupies 5,785 acres...",stlouis-to-caruthersville,island
907.0,LBD,"Milton Bell Bar The Madrid Bar stretches out almost three miles along the Kentucky shore left bank descending below the...",stlouis-to-caruthersville,access_point|island|dike
904.0,LBD,"and LBD 903",stlouis-to-caruthersville,camping|island|dike
901.0,RBD,"These would make for tight quarters, but would also be excellent protection for a cold north wind",stlouis-to-caruthersville,camping|island
900.0,RBD,"Donaldson Point Dikes A seven mile series of sandbars and willow clump forest islands has grown up along the Donaldson...",stlouis-to-caruthersville,camping|island|dike
900.0,LBD,"would make a great protected forest camp, especially in south winds or in the threat of storms coming from the southwest",stlouis-to-caruthersville,access_point|camping|island|dike
